data_suite,join_name,elapsed_time,result,database_raw_rows_count,database_final_rows_count,query_raw_rows_count,query_final_rows_count,result_raw_rows_count,result_final_rows_count
databio-s-1-2,bucketized-scale-2-rdd-ailist,5026,success,198621,198621,438694,877388,54343,54343
databio-s-2-7,bucketized-scale-2-rdd-ailist,6287,success,438694,438694,1194285,2388570,274253,274253
databio-s-1-0,bucketized-scale-2-rdd-ailist,6694,success,198621,198621,2350965,4701930,321138,321138
databio-m-7-0,bucketized-scale-2-rdd-ailist,7622,success,1194285,1194285,2350965,4701930,2764096,2764096
databio-m-7-3,bucketized-scale-2-rdd-ailist,7317,success,1194285,1194285,1956864,3913728,4410837,4410837
databio-l-0-8,bucketized-scale-2-rdd-ailist,21890,success,2350965,2350965,9944559,19889118,164213939,164213939
databio-l-4-8,bucketized-scale-2-rdd-ailist,608347,success,7684066,7684066,9944559,19889118,227867247,227867247
databio-l-7-8,bucketized-scale-2-rdd-ailist,27415,success,1194285,1194285,9944559,19889118,307298161,307298161
databio-xl-3-0,bucketized-scale-2-rdd-ailist,,java.lang.OutOfMemoryError: Java heap space
one-to-none-1000,bucketized-scale-2-rdd-ailist,4188,success,501,501,500,1000,0,0
one-to-none-5000,bucketized-scale-2-rdd-ailist,4219,success,2501,2501,2500,5000,0,0
one-to-none-10000,bucketized-scale-2-rdd-ailist,4275,success,5001,5001,5000,10000,0,0
one-to-none-50000,bucketized-scale-2-rdd-ailist,4491,success,25001,25001,25000,50000,0,0
one-to-none-100000,bucketized-scale-2-rdd-ailist,4612,success,50001,50001,50000,100000,0,0
one-to-none-500000,bucketized-scale-2-rdd-ailist,5384,success,250001,250001,250000,500000,0,0
one-to-none-1000000,bucketized-scale-2-rdd-ailist,6673,success,500001,500001,500000,1000000,0,0
one-to-none-5000000,bucketized-scale-2-rdd-ailist,14849,success,2500001,2500001,2500000,5000000,0,0
one-to-none-10000000,bucketized-scale-2-rdd-ailist,27230,success,5000001,5000001,5000000,10000000,0,0
one-to-none-50000000,bucketized-scale-2-rdd-ailist,,java.lang.OutOfMemoryError: Java heap space
one-to-none-100000000,bucketized-scale-2-rdd-ailist,,Executor heartbeat timed out after 161705 ms
one-to-one-1000,bucketized-scale-2-rdd-ailist,4361,success,1000,1000,1000,2000,999,999
one-to-one-5000,bucketized-scale-2-rdd-ailist,4274,success,5000,5000,5000,10000,5000,5000
one-to-one-10000,bucketized-scale-2-rdd-ailist,4405,success,10000,10000,10000,20000,9999,9999
one-to-one-50000,bucketized-scale-2-rdd-ailist,4861,success,50000,50000,50000,100000,49999,49999
one-to-one-100000,bucketized-scale-2-rdd-ailist,5000,success,100000,100000,100000,200000,99999,99999
one-to-one-500000,bucketized-scale-2-rdd-ailist,7865,success,500000,500000,500000,1000000,499999,499999
one-to-one-1000000,bucketized-scale-2-rdd-ailist,11566,success,1000000,1000000,1000000,2000000,999999,999999
one-to-one-5000000,bucketized-scale-2-rdd-ailist,85522,success,5000000,5000000,5000000,10000000,4999999,4999999
one-to-one-10000000,bucketized-scale-2-rdd-ailist,,java.lang.OutOfMemoryError: Java heap space
one-to-one-50000000,bucketized-scale-2-rdd-ailist,,Executor heartbeat timed out after 167337 ms
one-to-one-100000000,bucketized-scale-2-rdd-ailist,,java.lang.OutOfMemoryError: Java heap space
