data_suite,join_name,elapsed_time,result,database_raw_rows_count,database_final_rows_count,query_raw_rows_count,query_final_rows_count,result_raw_rows_count,result_final_rows_count
databio-s-1-2,bucketized-scale-8-rdd-ailist,6404,success,198621,198621,438694,3509552,54343,54343
databio-s-2-7,bucketized-scale-8-rdd-ailist,8261,success,438694,438694,1194285,9554280,274266,274266
databio-s-1-0,bucketized-scale-8-rdd-ailist,10992,success,198621,198621,2350965,18807720,321138,321138
databio-m-7-0,bucketized-scale-8-rdd-ailist,12982,success,1194285,1194285,2350965,18807720,2764173,2764173
databio-m-7-3,bucketized-scale-8-rdd-ailist,11086,success,1194285,1194285,1956864,15654912,4410914,4410914
databio-l-0-8,bucketized-scale-8-rdd-ailist,43821,success,2350965,2350965,9944559,79556472,164214400,164214400
databio-l-4-8,bucketized-scale-8-rdd-ailist,54194,success,7684066,7684066,9944559,79556472,227868468,227868468
databio-l-7-8,bucketized-scale-8-rdd-ailist,41461,success,1194285,1194285,9944559,79556472,307298556,307298556
databio-xl-3-0,bucketized-scale-8-rdd-ailist,,Job aborted due to stage failure: Task 4 in stage 8.0 failed 1 times, most recent failure: Lost task 4.0 in stage 8.0 (TID 67) (192.168.97.5 executor 1): java.lang.OutOfMemoryError: Java heap space
one-to-none-1000,bucketized-scale-8-rdd-ailist,4800,success,501,501,500,4000,0,0
one-to-none-5000,bucketized-scale-8-rdd-ailist,4527,success,2501,2501,2500,20000,0,0
one-to-none-10000,bucketized-scale-8-rdd-ailist,4557,success,5001,5001,5000,40000,0,0
one-to-none-50000,bucketized-scale-8-rdd-ailist,5180,success,25001,25001,25000,200000,0,0
one-to-none-100000,bucketized-scale-8-rdd-ailist,5071,success,50001,50001,50000,400000,0,0
one-to-none-500000,bucketized-scale-8-rdd-ailist,6855,success,250001,250001,250000,2000000,0,0
one-to-none-1000000,bucketized-scale-8-rdd-ailist,8237,success,500001,500001,500000,4000000,0,0
one-to-none-5000000,bucketized-scale-8-rdd-ailist,21909,success,2500001,2500001,2500000,20000000,0,0
one-to-none-10000000,bucketized-scale-8-rdd-ailist,35992,success,5000001,5000001,5000000,40000000,0,0
one-to-none-50000000,bucketized-scale-8-rdd-ailist,,Job aborted due to stage failure: Task 1 in stage 10.0 failed 1 times, most recent failure: Lost task 1.0 in stage 10.0 (TID 45) (192.168.97.4 executor 2): java.lang.OutOfMemoryError: Java heap space
one-to-none-100000000,bucketized-scale-8-rdd-ailist,,Job aborted due to stage failure: Task 2 in stage 13.0 failed 1 times, most recent failure: Lost task 2.0 in stage 13.0 (TID 50) (192.168.97.4 executor 2): java.lang.OutOfMemoryError: Java heap space
one-to-one-1000,bucketized-scale-8-rdd-ailist,4561,success,1000,1000,1000,8000,999,999
one-to-one-5000,bucketized-scale-8-rdd-ailist,4609,success,5000,5000,5000,40000,4999,4999
one-to-one-10000,bucketized-scale-8-rdd-ailist,4632,success,10000,10000,10000,80000,9999,9999
one-to-one-50000,bucketized-scale-8-rdd-ailist,5263,success,50000,50000,50000,400000,50000,50000
one-to-one-100000,bucketized-scale-8-rdd-ailist,5534,success,100000,100000,100000,800000,99999,99999
one-to-one-500000,bucketized-scale-8-rdd-ailist,8594,success,500000,500000,500000,4000000,499999,499999
one-to-one-1000000,bucketized-scale-8-rdd-ailist,13018,success,1000000,1000000,1000000,8000000,1000000,1000000
one-to-one-5000000,bucketized-scale-8-rdd-ailist,,Job aborted due to stage failure: Task 1 in stage 14.0 failed 1 times, most recent failure: Lost task 1.0 in stage 14.0 (TID 61) (192.168.97.5 executor 1): java.lang.OutOfMemoryError: Java heap space
one-to-one-10000000,bucketized-scale-8-rdd-ailist,,Job aborted due to stage failure: Task 7 in stage 14.0 failed 1 times, most recent failure: Lost task 7.0 in stage 14.0 (TID 67) (192.168.97.6 executor 4): java.lang.OutOfMemoryError: Java heap space
one-to-one-50000000,bucketized-scale-8-rdd-ailist,,Job aborted due to stage failure: Task 3 in stage 10.1 failed 1 times, most recent failure: Lost task 3.0 in stage 10.1 (TID 68) (192.168.97.4 executor 2): ExecutorLostFailure (executor 2 exited caused by one of the running tasks) Reason: Command exited with code 52
one-to-one-100000000,bucketized-scale-8-rdd-ailist,,Job aborted due to stage failure: Task 2 in stage 13.0 failed 1 times, most recent failure: Lost task 2.0 in stage 13.0 (TID 50) (192.168.97.6 executor 4): ExecutorLostFailure (executor 4 exited caused by one of the running tasks) Reason: Command exited with code 52
